id,x_pos,x_vel,y_pos,y_vel,mass
62,0.945436706,0.8901002173,0.28805704,0.5275248553,0.2152811751
63,0.1840469956,0.5062259581,0.439585984,0.6718417495,0.5828881553
64,0.7855649347,0.6825934573,0.8482355125,0.248562699,0.7535115469
65,0.01690278323,0.8352793943,0.2926439634,0.1455316123,0.8635474585
66,0.1926706649,0.7353664398,0.8669573172,0.6623682088,0.08527844998
67,0.3284205667,0.5918320659,0.5671715547,0.300369578,0.7427364079
68,0.9157099639,0.7833947452,0.3485529072,0.9750657961,0.520438552
69,0.07048011281,0.474455187,0.2967446684,0.2034623071,0.4106064187
70,0.2212838918,0.9293724288,0.8608334318,0.4127278366,0.8209668296
71,0.4501860558,0.1996654962,0.9335610941,0.8930636073,0.2009888777
72,0.5766991901,0.0003337113794,0.9320339339,0.07471589872,0.6769030396
73,0.08390625662,0.01433927282,0.9316934103,0.7475709276,0.3697216251
74,0.02596101394,0.568398383,0.3369775637,0.5614968398,0.9366025209
75,0.1274455692,0.6085779428,0.5340162945,0.6465752738,0.6873798121
76,0.3876041554,0.1707967437,0.4638673099,0.4745903863,0.5684182471
77,0.6362609454,0.0891816419,0.07921419127,0.1466205338,0.3907018923
78,0.6532687118,0.5143307412,0.2031114416,0.1363042671,0.3887460902
79,0.6596244699,0.9238869458,0.3952760609,0.1443284382,0.08494852597
80,0.2159268904,0.6994273754,0.04958885522,0.1269132727,0.3699324814
81,0.8226401767,0.01652494799,0.09588289375,0.749545658,0.07386576067
82,0.8066666756,0.7489406052,0.3597606017,0.4869382415,0.3574784339
83,0.4000213933,0.3232560368,0.846094868,0.341168976,0.05800869448
84,0.2689390549,0.9768580424,0.9550339457,0.6821816061,0.8114998465
85,0.135534368,0.6700376645,0.9137437239,0.02830502418,0.569706134
86,0.5491748212,0.9820686623,0.5127849403,0.6791753007,0.5403740167
87,0.3110146662,0.681481094,0.5729372857,0.9894207553,0.1783256256
88,0.5326772384,0.3023479262,0.436446145,0.7286977732,0.6283932709
89,0.818862753,0.9812537073,0.1760818289,0.4121406726,0.8177695418
90,0.6036968328,0.01371619588,0.1460653893,0.7050159118,0.9531584216
91,0.241924645,0.07418294369,0.9608288611,0.006347707961,0.3649619432
92,0.05859460567,0.8103272159,0.9807420969,0.09850835342,0.9371066112
93,0.1946641468,0.5702181147,0.9083523777,0.3132431082,0.279760869
94,0.7509998464,0.3500424004,0.154347065,0.009326437341,0.8413286686
95,0.4295327241,0.6604063068,0.2193631392,0.2830223778,0.04016564572
96,0.5978687756,0.9008475159,0.455932611,0.7397489973,0.8646689021
97,0.4624437164,0.005038985048,0.2242656954,0.8438229729,0.7494236906
98,0.8253504587,0.5732679649,0.6362384193,0.8328871724,0.1986167933
99,0.721256264,0.4441248572,0.7938650691,0.4346004285,0.5218390494
100,0.08336591158,0.6739385842,0.6717001882,0.6553956913,0.6659202868
